64 2195.9065 0 195.2831 0 1909.4002 0 
128 2141.7740 0 201.2217 0 1951.9799 0 
200 2373.5032 0 194.2411 0 1919.4228 0 
256 2387.2924 0 200.9320 0 1895.2116 0 
512 2336.9432 0 199.7450 0 1938.5586 0 
600 2424.5989 0 208.8618 0 1965.5487 0 
800 2376.0763 0 197.1208 0 1954.2202 0 
1024 2399.0010 0 193.1950 0 1912.3861 0 
2000 2395.8032 0 191.0194 0 2003.0506 0 
3000 2402.0176 0 192.5184 0 1948.3544 0 
4096 2403.1000 0 190.2818 0 1890.6911 0 
6000 2378.2143 0 190.7408 0 1966.9892 0 
7000 2410.8698 0 207.8868 0 1928.2677 0 
10000 2404.1663 0 193.1991 0 1968.1747 0 
50000 2423.9616 0 188.5777 0 1885.0832 0 
100000 2430.4525 0 187.3441 0 1953.4315 0 
