64 0.172556 0.003064 0.053588
128 0.362454 0.003209 0.054077
200 0.512035 0.003071 0.081116
256 0.617066 0.002860 0.103882
512 1.276224 0.003077 0.210796
600 1.499640 0.003560 0.313631
800 1.866029 0.003041 0.319082
1024 2.460813 0.003043 0.422853
2000 4.770974 0.002853 0.783461
3000 7.072248 0.002880 1.247096
4096 9.795631 0.003003 1.670217
6000 14.201320 0.002986 2.505665
7000 16.588115 0.002775 2.806628
10000 23.312253 0.002889 3.984563
50000 115.997007 0.002825 20.815155
100000 231.485919 0.002733 40.518588
1000000 2312.245713 0.002842 399.372180
10000000 23101.380040 0.002898 3986.939090
100000000 231969.806881 0.003354 40189.967967
