64 429.4614 9011.0135 1665.1337 
128 228.8913 11943.8844 993.6241 
200 146.6279 10417.8590 748.9565 
256 158.7246 9917.1338 614.7110 
512 88.9928 9464.0831 374.6181 
600 87.1083 9691.7090 363.3711 
800 59.6474 9802.0814 300.2782 
1024 59.7631 10715.0102 255.9337 
2000 60.3440 11133.3563 227.3877 
3000 136.4404 10600.2450 204.8975 
4096 163.5072 10585.4850 187.2784 
6000 299.2735 10282.9587 164.7556 
7000 336.2888 10915.2152 155.7809 
10000 413.0712 10783.0885 166.5000 
50000 422.5671 10531.4332 137.6779 
100000 432.9770 11929.1219 166.5725 
