64 2228.8216 0 190.2399 0 1803.6541 0 
128 2309.0819 0 187.8049 0 1858.3057 0 
200 2201.9785 0 192.3497 0 1836.6410 0 
256 2179.8418 0 189.5381 0 1851.4185 0 
512 2362.8432 0 197.8236 0 1860.0765 0 
600 2314.0360 0 193.9788 0 1859.5796 0 
800 2325.1025 0 192.4046 0 1837.3159 0 
1024 2362.6979 0 190.2959 0 1863.2946 0 
2000 2335.3450 0 197.8359 0 1899.3225 0 
3000 2322.3158 0 197.4245 0 1801.8681 0 
4096 2331.3380 0 185.4903 0 1873.9199 0 
6000 2309.6837 0 186.2760 0 1831.7326 0 
7000 2314.4461 0 210.2164 0 1819.5513 0 
10000 2317.4902 0 189.7143 0 1872.2884 0 
50000 2347.1980 0 182.5132 0 1821.4476 0 
100000 2348.8172 0 195.1073 0 1855.9844 0 
1000000 2351.4567 0 186.5297 0 1865.0052 0 
10000000 2354.9748 0 174.0606 0 1870.4987 0 
100000000 2352.3063 0 118.9302 0 1862.0903 0 
