64 0.3344 0.2908 0.3070 
128 0.3103 0.2844 0.2747 
200 0.3145 0.2973 0.2895 
256 0.2857 0.2904 0.2849 
512 0.1402 0.2694 0.2847 
600 0.1032 0.2815 0.2986 
800 0.0687 0.3082 0.3068 
1024 0.0666 0.3094 0.3001 
2000 0.0681 0.3150 0.3181 
3000 0.1253 0.3114 0.3199 
4096 0.2086 0.2978 0.3240 
6000 0.2943 0.2974 0.3405 
7000 0.3156 0.2905 0.3324 
10000 0.3661 0.3229 0.3325 
50000 0.3717 0.2999 0.3202 
100000 0.3653 0.3036 0.3190 
1000000 0.2966 0.3107 0.2802 
10000000 0.2934 0.3389 0.2814 
100000000 0.2932 0.3366 0.2808 
