64 0.250439 0.003308 0.030846
128 0.495247 0.003258 0.055507
200 0.755303 0.003349 0.087761
256 0.949764 0.003331 0.112761
512 1.911403 0.003599 0.224389
600 2.185948 0.003300 0.254313
800 3.012709 0.003331 0.350177
1024 3.795555 0.003488 0.451256
2000 7.361380 0.003206 0.855162
3000 10.771741 0.003112 1.271446
4096 14.834843 0.003363 1.736239
6000 25.623778 0.003336 2.592282
7000 25.305460 0.002901 3.024772
10000 36.001172 0.003345 4.215547
50000 178.324871 0.003114 22.004243
100000 355.837245 0.003248 42.610211
1000000 3547.280751 0.003346 419.506806
10000000 35525.289841 0.003215 4198.906470
100000000 355833.118724 0.003346 42537.759145
