64 633.5881 10805.1943 1926.9475 
128 402.8183 11065.0847 1090.7537 
200 236.6567 11315.7798 746.9588 
256 203.4020 12175.0817 677.7864 
512 114.3943 10992.4135 419.4800 
600 94.9960 10724.1304 405.9704 
800 84.5225 12956.8296 333.1158 
1024 72.3309 9973.2277 281.0824 
2000 57.6271 11446.5630 241.9026 
3000 72.1618 12167.3859 208.1241 
4096 89.1633 10949.8483 209.8937 
6000 166.0358 12159.6103 203.5303 
7000 157.0476 12217.3847 182.7814 
10000 217.2312 10828.3628 178.2510 
50000 266.7067 11740.5186 156.0866 
100000 286.3421 12493.6847 194.2374 
1000000 500.5021 13861.1574 349.0809 
10000000 475.0657 13039.7935 350.7789 
100000000 513.2247 12945.1653 310.0184 
