64 17689.5265 33898.1207 986.0995 1747.0905 
100 17448.3579 32772.7999 580.4309 62.5570 
128 13085.4143 34583.0139 10739.2975 1748.5899 
200 12409.1069 34004.3065 5681.2939 3089.7027 
256 10753.1143 31291.1302 74150.5158 10242.6940 
512 11895.1562 28101.2363 67446.8119 35983.9015 
600 13334.0039 22362.5510 15176.9140 5282.1553 
900 15310.3946 25243.3177 7981.7467 41.2473 
1024 14365.5861 42884.1530 21097.1417 32976.1734 
2000 15229.1932 46262.3828 17348.7103 15164.5408 
2048 14985.8393 42539.0221 16290.7651 28588.7149 
3000 15032.7810 48529.7887 20748.2148 16817.5008 
4000 15086.7465 49301.5553 39328.4238 14967.9670 
