64 0 0 0.0115 0 
100 0.0112 0 0.0115 0.0794 
128 0 0 0.0240 0.0119 
200 0 0 0.0938 0.0353 
256 0 0.0122 0.3095 0.0965 
512 0.0117 0 2.5026 0.9211 
600 0.0121 0 2.6853 0.9788 
900 0.0120 0.0101 10.1379 784.2032 
1024 0.0224 0 25.9976 8.4858 
2000 0.0428 0.0244 144.4214 41.8790 
2048 0.0569 0.0261 530.9125 89.6910 
3000 0.1143 0.0433 500.9128 147.4158 
4000 0.1907 0.0850 1384.2690 352.7635 
