64 
0.004880\n
100 
0.010610\n
128 
0.017870\n
200 
0.042530\n
256 
0.074460\n
512 
0.302860\n
600 
0.401250\n
900 
0.9183400.0012700.0013000.0013000.0016700.0015008 0.000960
8 0.001160
8 0.001140
8 0.001320
8 0.001130
8 0.001140
8 0.001480
8 0.001400
8 0.001010
8 0.001210
8 0.001155
8 0.001309
8 0.000798
8 0.000951
8 0.001262
8 0.001117
8 0.001337
8 0.001019
8 0.000979
8 0.001150
8 0.000896
8 0.002776
8 0.001068
8 0.000954
8 0.000789
8 0.001272
8 0.000809
8 0.001032
8 0.005239
8 0.001361
8 0.001158
8 0.001005
8 0.001149
8 0.000915
8 0.002612
8 0.001275
8 0.003550
8 0.001073
8 0.001284
8 0.002104
8 0.001191
8 0.005146
8 0.001885
8 0.002501
8 0.001003
8 0.001231
8 0.001026
8 0.001026
8 0.001259
8 0.000880
8 0.000848
8 0.001875
8 0.000639
8 0.001067
8 0.001612
8 0.001386
8 0.001018
8 0.000692
8 0.001544
8 0.001648
8 0.001940
8 0.002001
8 0.001249
8 0.001480
8 0.001169
8 0.001499
8 0.001610
8 0.001619
8 0.002201
8 0.002300
8 0.001480
8 0.001850
64 0.004289
64 0.016140
64 0.005720
64 0.005310
64 0.004770
64 0.005659
100 0.011480
100 0.009480
100 0.010370
100 0.010590
128 0.016550
128 0.015310
128 0.016830
128 0.016529
200 0.047770
200 0.047270
200 0.054379
200 0.048891
256 0.077478
256 0.074270
256 0.079409
256 0.082140
512 0.400589
512 0.344589
512 0.378860
512 0.383150
600 0.527149
600 0.499840
600 0.478920
600 0.459261
900 1.402121
900 1.148130
900 1.012749
900 1.162580
1024 1.563511
1024 1.395971
1024 1.501371
1024 1.306080
2000 5.543274
2000 5.066381
2000 5.260393
2000 5.690813
2048 5.847662
8 0.001138
8 0.000868
8 0.002589
2048 6.235674
2048 6.149254
2048 5.309992
3000 12.195187
64 0.005711
64 0.005909
64 0.004850
64 0.006430
100 0.012039
100 0.009460
100 0.025030
100 0.010651
128 0.019960
128 0.020460
128 0.021530
128 0.018261
200 0.043360
200 0.044510
200 0.049231
200 0.045900
256 0.085501
256 0.069719
256 0.073721
256 0.082479
512 0.388929
512 0.330530
512 0.351589
512 0.384449
600 0.536610
600 0.569191
600 0.534021
600 0.570971
900 1.457232
900 1.230669
900 1.181011
900 1.220980
1024 1.571402
1024 1.636530
1024 1.368431
1024 1.339581
2000 6.059072
2000 5.626373
2000 6.026733
2000 5.741243
2048 6.293602
64 0.005210
100 0.010790
128 0.017930
200 0.042120
256 0.076700
512 0.293490
600 0.416360
900 0.920020
64 0.005570
64 0.005011
64 0.004711
64 0.005700
64 0.005990
8 0.002451
8 0.001921
8 0.001080
8 0.001690
8 0.002321
