64 0.003040 0.001251 0.189539 0.096216
100 0.007258 0.003069 0.863486 8.047173
128 0.012295 0.004816 2.074272 0.823229
200 0.034400 0.012043 7.963778 2.981848
256 0.057196 0.018729 25.719411 7.307356
512 0.267929 0.084868 205.402772 74.839368
600 0.357170 0.195315 225.254872 82.198668
900 0.829264 0.374206 879.849699 82496.891931
1024 1.088199 0.382779 2415.823009 666.716122
2000 4.314476 1.388046 13081.245332 3466.021837
2048 4.503560 1.634129 56252.543456 6889.699179
3000 9.552661 3.037339 43985.530308 11748.117218
4000 17.103290 5.317141 122118.106458 28523.568371
