64 990.8025 494.3753 3406.7584 1699.8517 2937.2566 0 5579.9127 0 
100 1418.9601 708.8775 4959.1392 2477.4638 2459.6383 0 3024.8514 1400.3931 
128 1639.0123 819.0812 5503.4725 2750.3094 2206.7464 0 4964.6547 0 
200 1897.4274 948.5122 6381.5924 3190.1183 2047.9847 0 5374.1405 0 
256 1991.6686 995.7052 6656.6022 3327.8695 1361.0840 0 4692.3112 0 
512 1868.0519 933.9957 6380.5207 3190.1569 1326.8930 0 3629.8362 0 
600 1961.1463 980.5500 5986.0246 2992.9416 1919.8080 0 5249.3043 0 
900 1929.3028 964.6413 4645.5977 2322.7745 1677.1056 0 1981.6866 982.1133 
1024 1914.3574 957.1710 5571.3582 2785.6565 510.3971 0 2788.3113 0 
2000 1882.1205 941.0582 5670.2160 2835.1020 1225.8047 0 4726.6015 0 
2048 1875.8077 937.9019 5334.8637 2667.4264 319.8719 0 2486.1535 0 
3000 1813.7284 906.8633 5834.6062 2917.3004 1230.9667 0 4639.8888 0 
4000 1870.1967 935.0978 6114.1912 3057.0937 1077.3277 0 4459.4145 0 
